#,Date-Time (PDT),Temperature   (°C),Light   (lux),Host Connected,End of File
1,06-10-2024 18:18:50,20.16,8110.08,,
2,06-10-2024 18:23:50,21.49,12697.60,,
3,06-10-2024 18:28:50,21.83,15979.52,,
4,06-10-2024 18:33:50,24.02,19276.80,,
5,06-10-2024 18:38:50,24.97,18196.48,,
6,06-10-2024 18:43:50,23.76,8197.12,,
7,06-10-2024 18:48:50,21.96,6412.80,,
8,06-10-2024 18:53:50,20.42,5644.80,,
9,06-10-2024 18:58:50,19.69,6563.84,,
10,06-10-2024 19:03:50,19.35,6205.44,,
11,06-10-2024 19:08:50,18.83,4611.84,,
12,06-10-2024 19:13:50,18.27,3929.60,,
13,06-10-2024 19:18:50,17.84,3705.60,,
14,06-10-2024 19:23:50,17.46,3536.64,,
15,06-10-2024 19:28:50,17.16,3392.00,,
16,06-10-2024 19:33:50,16.94,3357.44,,
17,06-10-2024 19:38:50,16.77,3376.64,,
18,06-10-2024 19:43:50,16.73,3193.60,,
19,06-10-2024 19:48:50,16.51,2972.16,,
20,06-10-2024 19:53:50,16.08,2860.80,,
21,06-10-2024 19:58:50,15.61,2696.96,,
22,06-10-2024 20:03:50,15.18,2529.28,,
23,06-10-2024 20:08:50,14.88,2408.32,,
24,06-10-2024 20:13:50,14.67,2269.44,,
25,06-10-2024 20:18:50,14.45,2211.20,,
26,06-10-2024 20:23:50,14.28,1992.96,,
27,06-10-2024 20:28:50,14.11,1482.24,,
28,06-10-2024 20:33:50,13.98,1368.32,,
29,06-10-2024 20:38:50,13.77,1181.12,,
30,06-10-2024 20:43:50,13.55,1023.36,,
31,06-10-2024 20:48:50,13.30,872.32,,
32,06-10-2024 20:53:50,13.17,737.92,,
33,06-10-2024 20:58:50,13.25,615.36,,
34,06-10-2024 21:03:50,13.17,503.36,,
35,06-10-2024 21:08:50,13.17,384.64,,
36,06-10-2024 21:13:50,13.00,282.16,,
37,06-10-2024 21:18:50,12.95,202.32,,
38,06-10-2024 21:23:50,13.17,130.36,,
39,06-10-2024 21:28:50,13.51,78.88,,
40,06-10-2024 21:33:50,13.68,44.98,,
41,06-10-2024 21:38:50,13.73,21.51,,
42,06-10-2024 21:43:50,13.81,9.62,,
43,06-10-2024 21:48:50,13.98,4.12,,
44,06-10-2024 21:53:50,14.24,2.35,,
45,06-10-2024 21:58:50,14.37,1.17,,
46,06-10-2024 22:03:50,14.45,0.58,,
47,06-10-2024 22:08:50,14.63,0.19,,
48,06-10-2024 22:13:50,14.75,0.39,,
49,06-10-2024 22:18:50,14.84,0.00,,
50,06-10-2024 22:23:50,14.75,0.00,,
51,06-10-2024 22:28:50,14.63,0.00,,
52,06-10-2024 22:33:50,14.50,0.00,,
53,06-10-2024 22:38:50,14.41,0.00,,
54,06-10-2024 22:43:50,14.33,0.00,,
55,06-10-2024 22:48:50,14.33,0.00,,
56,06-10-2024 22:53:50,14.33,0.00,,
57,06-10-2024 22:58:50,14.63,0.00,,
58,06-10-2024 23:03:50,14.84,0.00,,
59,06-10-2024 23:08:50,14.88,0.00,,
60,06-10-2024 23:13:50,14.93,0.00,,
61,06-10-2024 23:18:50,14.88,0.00,,
62,06-10-2024 23:23:50,15.01,0.00,,
63,06-10-2024 23:28:50,14.97,0.00,,
64,06-10-2024 23:33:50,14.71,0.00,,
65,06-10-2024 23:38:50,14.71,0.00,,
66,06-10-2024 23:43:50,14.71,0.00,,
67,06-10-2024 23:48:50,14.71,0.00,,
68,06-10-2024 23:53:50,14.71,0.00,,
69,06-10-2024 23:58:50,14.84,0.00,,
70,06-11-2024 00:03:50,14.97,0.00,,
71,06-11-2024 00:08:50,14.97,0.00,,
72,06-11-2024 00:13:50,15.10,0.00,,
73,06-11-2024 00:18:50,15.14,0.00,,
74,06-11-2024 00:23:50,15.06,0.00,,
75,06-11-2024 00:28:50,15.06,0.00,,
76,06-11-2024 00:33:50,14.97,0.00,,
77,06-11-2024 00:38:50,14.97,0.00,,
78,06-11-2024 00:43:50,14.88,0.00,,
79,06-11-2024 00:48:50,14.80,0.00,,
80,06-11-2024 00:53:50,14.63,0.00,,
81,06-11-2024 00:58:50,14.63,0.00,,
82,06-11-2024 01:03:50,14.45,0.00,,
83,06-11-2024 01:08:50,14.28,0.00,,
84,06-11-2024 01:13:50,14.11,0.00,,
85,06-11-2024 01:18:50,13.98,0.00,,
86,06-11-2024 01:23:50,13.85,0.00,,
87,06-11-2024 01:28:50,13.73,0.00,,
88,06-11-2024 01:33:50,13.68,0.00,,
89,06-11-2024 01:38:50,13.73,0.00,,
90,06-11-2024 01:43:50,13.73,0.00,,
91,06-11-2024 01:48:50,13.73,0.00,,
92,06-11-2024 01:53:50,13.77,0.00,,
93,06-11-2024 01:58:50,13.73,0.00,,
94,06-11-2024 02:03:50,13.77,0.00,,
95,06-11-2024 02:08:50,13.94,0.19,,
96,06-11-2024 02:13:50,13.98,0.00,,
97,06-11-2024 02:18:50,14.11,0.00,,
98,06-11-2024 02:23:50,14.24,0.00,,
99,06-11-2024 02:28:50,14.11,0.00,,
100,06-11-2024 02:33:50,13.90,0.00,,
101,06-11-2024 02:38:50,13.85,0.00,,
102,06-11-2024 02:43:50,13.90,0.00,,
103,06-11-2024 02:48:50,13.94,0.00,,
104,06-11-2024 02:53:50,13.98,0.00,,
105,06-11-2024 02:58:50,14.07,0.00,,
106,06-11-2024 03:03:50,14.15,0.00,,
107,06-11-2024 03:08:50,14.11,0.00,,
108,06-11-2024 03:13:50,13.90,0.00,,
109,06-11-2024 03:18:50,13.77,0.00,,
110,06-11-2024 03:23:50,13.73,0.00,,
111,06-11-2024 03:28:50,13.64,0.00,,
112,06-11-2024 03:33:50,13.43,0.00,,
113,06-11-2024 03:38:50,13.38,0.00,,
114,06-11-2024 03:43:50,13.30,0.00,,
115,06-11-2024 03:48:50,13.21,0.00,,
116,06-11-2024 03:53:50,13.12,0.00,,
117,06-11-2024 03:58:50,12.95,0.00,,
118,06-11-2024 04:03:50,12.87,0.00,,
119,06-11-2024 04:08:50,12.91,0.00,,
120,06-11-2024 04:13:50,12.87,0.00,,
121,06-11-2024 04:18:50,12.82,0.00,,
122,06-11-2024 04:23:50,12.87,0.00,,
123,06-11-2024 04:28:50,12.87,0.00,,
124,06-11-2024 04:33:50,12.82,0.98,,
125,06-11-2024 04:38:50,12.74,1.37,,
126,06-11-2024 04:43:50,12.70,2.55,,
127,06-11-2024 04:48:50,12.74,4.91,,
128,06-11-2024 04:53:50,12.65,8.64,,
129,06-11-2024 04:58:50,12.65,21.71,,
130,06-11-2024 05:03:50,12.70,48.52,,
131,06-11-2024 05:08:50,12.65,67.88,,
132,06-11-2024 05:13:50,12.65,103.44,,
133,06-11-2024 05:18:50,12.61,119.96,,
134,06-11-2024 05:23:50,12.65,184.88,,
135,06-11-2024 05:28:50,12.65,292.32,,
136,06-11-2024 05:33:50,12.70,331.20,,
137,06-11-2024 05:38:50,12.78,477.76,,
138,06-11-2024 05:43:50,12.82,672.00,,
139,06-11-2024 05:48:50,12.87,334.88,,
140,06-11-2024 05:53:50,12.87,330.24,,
141,06-11-2024 05:58:50,12.95,622.88,,
142,06-11-2024 06:03:50,13.08,1326.72,,
143,06-11-2024 06:08:50,13.21,958.08,,
144,06-11-2024 06:13:50,13.21,1028.80,,
145,06-11-2024 06:18:50,13.21,1041.28,,
146,06-11-2024 06:23:50,13.21,1464.96,,
147,06-11-2024 06:28:50,13.38,1456.00,,
148,06-11-2024 06:33:50,13.51,1955.20,,
149,06-11-2024 06:38:50,13.55,1448.96,,
150,06-11-2024 06:43:50,13.73,2203.52,,
151,06-11-2024 06:48:50,13.85,2337.28,,
152,06-11-2024 06:53:50,14.11,4005.12,,
153,06-11-2024 06:58:50,14.20,2003.84,,
