#,Date-Time (PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Button Down,Host Connected,Started Offset,End of File
1,04-04-2025 12:38:37,,,,Logged,,,
2,04-04-2025 12:38:42,,,,,Logged,,
3,04-04-2025 12:48:06,,,,Logged,,,
4,04-04-2025 12:48:26,,,,Logged,,Logged,
5,04-04-2025 13:48:31,25.29,50.31,14.23,,,,
6,04-04-2025 13:58:31,19.76,45.94,7.81,,,,
7,04-04-2025 14:08:31,16.83,52.65,7.11,,,,
8,04-04-2025 14:18:31,15.55,57.53,7.22,,,,
9,04-04-2025 14:28:31,15.55,57.79,7.29,,,,
10,04-04-2025 14:38:31,15.33,57.06,6.89,,,,
11,04-04-2025 14:48:31,15.02,60.23,7.38,,,,
12,04-04-2025 14:58:31,14.98,62.89,7.99,,,,
13,04-04-2025 15:08:31,15.55,60.24,7.89,,,,
14,04-04-2025 15:18:31,16.30,55.69,7.44,,,,
15,04-04-2025 15:28:31,16.51,53.94,7.17,,,,
16,04-04-2025 15:38:31,16.99,54.76,7.84,,,,
17,04-04-2025 15:48:31,16.84,54.77,7.70,,,,
18,04-04-2025 15:58:31,16.49,54.68,7.35,,,,
19,04-04-2025 16:08:31,16.12,54.48,6.95,,,,
20,04-04-2025 16:18:31,15.58,55.44,6.70,,,,
21,04-04-2025 16:28:31,15.14,53.57,5.80,,,,
22,04-04-2025 16:38:31,14.67,54.77,5.68,,,,
23,04-04-2025 16:48:31,14.46,55.96,5.79,,,,
24,04-04-2025 16:58:31,14.15,59.22,6.32,,,,
25,04-04-2025 17:08:31,13.94,60.84,6.51,,,,
26,04-04-2025 17:18:31,13.62,61.07,6.27,,,,
27,04-04-2025 17:28:31,13.15,61.71,5.97,,,,
28,04-04-2025 17:38:31,12.86,60.82,5.49,,,,
29,04-04-2025 17:48:31,13.07,60.07,5.51,,,,
30,04-04-2025 17:58:31,13.25,60.49,5.78,,,,
31,04-04-2025 18:08:31,13.40,58.91,5.54,,,,
32,04-04-2025 18:18:31,13.40,61.56,6.18,,,,
33,04-04-2025 18:28:31,13.15,60.90,5.78,,,,
34,04-04-2025 18:38:31,12.60,64.41,6.08,,,,
35,04-04-2025 18:48:31,11.94,64.73,5.52,,,,
36,04-04-2025 18:58:31,11.22,65.73,5.05,,,,
37,04-04-2025 19:08:31,10.61,67.49,4.85,,,,
38,04-04-2025 19:18:31,10.15,68.23,4.57,,,,
39,04-04-2025 19:28:31,9.89,70.37,4.76,,,,
40,04-04-2025 19:38:31,9.56,71.66,4.70,,,,
41,04-04-2025 19:48:31,9.19,72.92,4.60,,,,
42,04-04-2025 19:58:31,8.97,71.68,4.15,,,,
43,04-04-2025 20:08:31,8.77,73.92,4.39,,,,
44,04-04-2025 20:18:31,8.59,73.19,4.07,,,,
45,04-04-2025 20:28:31,8.41,74.61,4.17,,,,
46,04-04-2025 20:38:31,8.27,75.04,4.12,,,,
47,04-04-2025 20:48:31,8.25,75.60,4.20,,,,
48,04-04-2025 20:58:31,8.24,76.39,4.34,,,,
49,04-04-2025 21:08:31,8.15,77.29,4.42,,,,
50,04-04-2025 21:18:31,7.79,78.60,4.31,,,,
51,04-04-2025 21:28:31,7.50,80.39,4.35,,,,
52,04-04-2025 21:38:31,7.33,80.09,4.13,,,,
53,04-04-2025 21:48:31,7.23,81.37,4.26,,,,
54,04-04-2025 21:58:31,7.06,82.12,4.23,,,,
55,04-04-2025 22:08:31,6.86,82.78,4.14,,,,
56,04-04-2025 22:18:31,6.79,83.46,4.20,,,,
57,04-04-2025 22:28:31,6.68,84.37,4.24,,,,
58,04-04-2025 22:38:31,6.47,82.86,3.77,,,,
59,04-04-2025 22:48:31,6.37,85.15,4.06,,,,
60,04-04-2025 22:58:31,6.23,86.33,4.12,,,,
61,04-04-2025 23:08:31,6.23,86.58,4.16,,,,
62,04-04-2025 23:18:31,6.05,86.45,3.97,,,,
63,04-04-2025 23:28:31,5.94,86.78,3.91,,,,
64,04-04-2025 23:38:31,5.81,87.44,3.89,,,,
65,04-04-2025 23:48:31,5.63,87.53,3.73,,,,
66,04-04-2025 23:58:31,5.51,88.00,3.68,,,,
67,04-05-2025 00:08:31,5.41,88.57,3.67,,,,
68,04-05-2025 00:18:31,5.34,89.23,3.71,,,,
69,04-05-2025 00:28:31,5.44,89.30,3.83,,,,
70,04-05-2025 00:38:31,5.63,89.47,4.04,,,,
71,04-05-2025 00:48:31,5.72,88.24,3.94,,,,
72,04-05-2025 00:58:31,5.79,87.44,3.87,,,,
73,04-05-2025 01:08:31,5.59,88.50,3.84,,,,
74,04-05-2025 01:18:31,5.41,89.26,3.78,,,,
75,04-05-2025 01:28:31,5.33,89.86,3.80,,,,
76,04-05-2025 01:38:31,5.21,90.78,3.83,,,,
77,04-05-2025 01:48:31,5.24,90.43,3.81,,,,
78,04-05-2025 01:58:31,5.10,90.23,3.63,,,,
79,04-05-2025 02:08:31,5.01,89.99,3.51,,,,
80,04-05-2025 02:18:31,4.98,89.60,3.41,,,,
81,04-05-2025 02:28:31,4.99,89.17,3.36,,,,
82,04-05-2025 02:38:31,4.94,89.26,3.33,,,,
83,04-05-2025 02:48:31,4.79,89.42,3.20,,,,
84,04-05-2025 02:58:31,4.77,89.93,3.26,,,,
85,04-05-2025 03:08:31,4.73,90.21,3.27,,,,
86,04-05-2025 03:18:31,4.69,90.54,3.28,,,,
87,04-05-2025 03:28:31,4.72,90.34,3.27,,,,
88,04-05-2025 03:38:31,4.80,89.96,3.30,,,,
89,04-05-2025 03:48:31,4.81,89.85,3.29,,,,
90,04-05-2025 03:58:31,4.84,89.49,3.26,,,,
91,04-05-2025 04:08:31,4.68,90.58,3.27,,,,
92,04-05-2025 04:18:31,4.74,90.48,3.32,,,,
93,04-05-2025 04:28:31,4.65,90.32,3.20,,,,
94,04-05-2025 04:38:31,4.84,91.22,3.53,,,,
95,04-05-2025 04:48:31,5.33,89.18,3.69,,,,
96,04-05-2025 04:58:31,5.23,89.01,3.57,,,,
97,04-05-2025 05:08:31,5.07,88.34,3.31,,,,
98,04-05-2025 05:18:31,4.87,88.56,3.14,,,,
99,04-05-2025 05:28:31,4.67,89.05,3.02,,,,
100,04-05-2025 05:38:31,4.60,88.55,2.88,,,,
101,04-05-2025 05:48:31,4.49,89.08,2.85,,,,
102,04-05-2025 05:58:31,4.45,88.80,2.77,,,,
103,04-05-2025 06:08:31,4.54,88.62,2.83,,,,
104,04-05-2025 06:18:31,4.54,87.73,2.69,,,,
105,04-05-2025 06:28:31,4.39,87.77,2.54,,,,
106,04-05-2025 06:38:31,4.07,88.87,2.40,,,,
107,04-05-2025 06:48:31,3.82,89.61,2.27,,,,
108,04-05-2025 06:58:31,3.71,91.56,2.47,,,,
109,04-05-2025 07:08:31,3.74,92.20,2.59,,,,
110,04-05-2025 07:18:31,3.83,92.85,2.78,,,,
111,04-05-2025 07:28:31,4.02,93.05,3.00,,,,
112,04-05-2025 07:38:31,4.23,93.47,3.27,,,,
113,04-05-2025 07:48:31,4.60,93.66,3.67,,,,
114,04-05-2025 07:58:31,5.30,94.30,4.46,,,,
115,04-05-2025 08:08:31,5.98,93.16,4.97,,,,
116,04-05-2025 08:18:31,6.64,91.64,5.38,,,,
117,04-05-2025 08:28:31,7.20,87.77,5.32,,,,
118,04-05-2025 08:38:31,7.64,83.95,5.11,,,,
119,04-05-2025 08:48:31,8.30,79.01,4.88,,,,
120,04-05-2025 08:58:31,9.29,77.06,5.48,,,,
121,04-05-2025 09:08:31,10.41,72.33,5.65,,,,
122,04-05-2025 09:18:31,11.26,67.20,5.41,,,,
123,04-05-2025 09:28:31,12.29,63.29,5.53,,,,
124,04-05-2025 09:38:31,12.38,60.94,5.07,,,,
125,04-05-2025 09:48:31,12.73,61.76,5.59,,,,
126,04-05-2025 09:58:31,13.44,57.15,5.14,,,,
127,04-05-2025 10:08:31,14.16,54.51,5.14,,,,
128,04-05-2025 10:18:31,14.66,58.25,6.56,,,,
129,04-05-2025 10:28:31,15.44,58.86,7.45,,,,
130,04-05-2025 10:38:31,14.94,60.10,7.28,,,,
131,04-05-2025 10:48:31,14.55,59.25,6.71,,,,
132,04-05-2025 10:58:31,14.62,59.48,6.83,,,,
133,04-05-2025 11:08:31,14.69,61.52,7.38,,,,
134,04-05-2025 11:18:31,15.50,59.15,7.57,,,,
135,04-05-2025 11:28:31,16.42,57.47,8.02,,,,
136,04-05-2025 11:38:31,16.08,53.88,6.75,,,,
137,04-05-2025 11:48:31,15.73,53.89,6.43,,,,
138,04-05-2025 11:58:31,16.12,56.56,7.50,,,,
139,04-05-2025 12:08:31,16.38,54.32,7.15,,,,
140,04-05-2025 12:18:31,17.26,51.07,7.07,,,,
141,04-05-2025 12:28:31,17.86,53.20,8.22,,,,
142,04-05-2025 12:38:31,18.48,53.73,8.95,,,,
143,04-05-2025 12:48:31,18.88,51.87,8.79,,,,
144,04-05-2025 12:58:31,19.69,48.67,8.59,,,,
145,04-05-2025 13:08:31,19.37,46.55,7.65,,,,
146,04-05-2025 13:18:31,19.01,45.77,7.07,,,,
147,04-05-2025 13:28:31,19.09,50.05,8.46,,,,
148,04-05-2025 13:38:31,19.60,50.27,8.99,,,,
149,04-05-2025 13:48:31,19.31,51.39,9.05,,,,
150,04-05-2025 13:58:31,18.73,49.48,7.95,,,,
151,04-05-2025 14:08:31,18.29,54.65,9.02,,,,
152,04-05-2025 14:18:31,18.48,54.93,9.27,,,,
153,04-05-2025 14:28:31,18.51,56.05,9.60,,,,
154,04-05-2025 14:38:31,19.32,49.96,8.64,,,,
155,04-05-2025 14:48:31,19.45,52.21,9.42,,,,
156,04-05-2025 14:58:31,19.40,52.38,9.42,,,,
157,04-05-2025 15:08:31,19.31,53.32,9.60,,,,
158,04-05-2025 15:18:31,19.85,49.91,9.11,,,,
159,04-05-2025 15:28:31,20.37,51.87,10.16,,,,
160,04-05-2025 15:38:31,21.16,48.34,9.84,,,,
161,04-05-2025 15:48:31,19.33,51.86,9.21,,,,
162,04-05-2025 15:58:31,18.51,56.45,9.70,,,,
163,04-05-2025 16:08:31,18.01,55.97,9.11,,,,
164,04-05-2025 16:18:31,17.81,53.02,8.13,,,,
165,04-05-2025 16:28:31,17.66,54.26,8.33,,,,
166,04-05-2025 16:38:31,17.62,56.19,8.81,,,,
167,04-05-2025 16:48:31,17.87,50.85,7.57,,,,
168,04-05-2025 16:58:31,18.28,48.33,7.20,,,,
169,04-05-2025 17:08:31,18.91,44.30,6.50,,,,
170,04-05-2025 17:18:31,18.56,37.70,3.88,,,,
171,04-05-2025 17:28:31,18.83,51.94,8.76,,,,
172,04-05-2025 17:38:31,19.05,52.24,9.06,,,,
173,04-05-2025 17:48:31,18.91,51.23,8.64,,,,
174,04-05-2025 17:58:31,18.67,47.42,7.28,,,,
175,04-05-2025 18:08:31,17.69,48.71,6.77,,,,
176,04-05-2025 18:18:31,16.93,50.93,6.73,,,,
177,04-05-2025 18:28:31,16.02,50.12,5.65,,,,
178,04-05-2025 18:38:31,15.33,54.85,6.32,,,,
179,04-05-2025 18:48:31,15.08,56.51,6.51,,,,
180,04-05-2025 18:58:31,14.88,55.86,6.16,,,,
181,04-05-2025 19:08:31,14.74,56.94,6.31,,,,
182,04-05-2025 19:18:31,14.40,55.35,5.58,,,,
183,04-05-2025 19:28:31,14.07,56.96,5.68,,,,
184,04-05-2025 19:38:31,13.80,58.89,5.91,,,,
185,04-05-2025 19:48:31,13.60,60.00,5.99,,,,
186,04-05-2025 19:58:31,13.45,60.56,5.99,,,,
187,04-05-2025 20:08:31,13.40,57.57,5.22,,,,
188,04-05-2025 20:18:31,13.48,57.25,5.20,,,,
189,04-05-2025 20:28:31,13.29,56.44,4.82,,,,
190,04-05-2025 20:38:31,13.04,58.49,5.10,,,,
191,04-05-2025 20:48:31,12.94,57.70,4.81,,,,
192,04-05-2025 20:58:31,12.90,61.03,5.59,,,,
193,04-05-2025 21:08:31,12.92,60.60,5.50,,,,
194,04-05-2025 21:18:31,12.95,61.93,5.84,,,,
195,04-05-2025 21:28:31,13.00,60.06,5.44,,,,
196,04-05-2025 21:38:31,13.12,56.86,4.78,,,,
197,04-05-2025 21:48:31,13.23,56.90,4.89,,,,
198,04-05-2025 21:58:31,13.06,60.75,5.67,,,,
199,04-05-2025 22:08:31,12.93,59.63,5.27,,,,
200,04-05-2025 22:18:31,12.95,59.89,5.35,,,,
201,04-05-2025 22:28:31,12.77,62.91,5.90,,,,
202,04-05-2025 22:38:31,12.93,55.00,4.12,,,,
203,04-05-2025 22:48:31,13.14,55.23,4.37,,,,
204,04-05-2025 22:58:31,12.47,77.77,8.71,,,,
205,04-05-2025 23:08:31,11.64,80.64,8.44,,,,
206,04-05-2025 23:18:31,11.30,78.78,7.76,,,,
207,04-05-2025 23:28:31,11.19,81.57,8.17,,,,
208,04-05-2025 23:38:31,11.10,79.74,7.74,,,,
209,04-05-2025 23:48:31,10.98,81.63,7.97,,,,
210,04-05-2025 23:58:31,10.95,81.85,7.99,,,,
211,04-06-2025 00:08:31,11.03,80.15,7.75,,,,
212,04-06-2025 00:18:31,11.00,78.04,7.33,,,,
213,04-06-2025 00:28:31,11.05,73.94,6.60,,,,
214,04-06-2025 00:38:31,11.26,71.69,6.35,,,,
215,04-06-2025 00:48:31,11.58,68.50,5.99,,,,
216,04-06-2025 00:58:31,11.51,76.08,7.46,,,,
217,04-06-2025 01:08:31,11.27,75.37,7.09,,,,
218,04-06-2025 01:18:31,11.52,68.02,5.84,,,,
219,04-06-2025 01:28:31,11.94,62.92,5.11,,,,
220,04-06-2025 01:38:31,12.05,61.95,4.99,,,,
221,04-06-2025 01:48:31,11.99,63.44,5.28,,,,
