#,Date-Time (PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Button Down,Started Offset,Host Connected,End of File
1,03-17-2025 12:30:05,,,,Logged,,,
2,03-17-2025 12:30:07,,,,Logged,Logged,,
3,03-17-2025 13:30:12,17.22,58.61,9.06,,,,
4,03-17-2025 13:40:12,12.65,59.62,5.01,,,,
5,03-17-2025 13:50:12,11.59,62.57,4.70,,,,
6,03-17-2025 14:00:12,10.75,64.49,4.34,,,,
7,03-17-2025 14:10:12,10.54,66.09,4.49,,,,
8,03-17-2025 14:20:12,10.70,63.55,4.08,,,,
9,03-17-2025 14:30:12,10.98,62.23,4.05,,,,
10,03-17-2025 14:40:12,10.93,61.36,3.80,,,,
11,03-17-2025 14:50:12,10.15,62.57,3.34,,,,
12,03-17-2025 15:00:12,10.19,61.02,3.02,,,,
13,03-17-2025 15:10:12,10.86,59.61,3.32,,,,
14,03-17-2025 15:20:12,10.42,56.54,2.17,,,,
15,03-17-2025 15:30:12,11.30,57.52,3.23,,,,
16,03-17-2025 15:40:12,12.01,55.21,3.32,,,,
17,03-17-2025 15:50:12,11.05,55.16,2.41,,,,
18,03-17-2025 16:00:12,10.69,55.33,2.11,,,,
19,03-17-2025 16:10:12,10.39,59.13,2.76,,,,
20,03-17-2025 16:20:12,10.41,57.22,2.32,,,,
21,03-17-2025 16:30:12,9.99,58.24,2.18,,,,
22,03-17-2025 16:40:12,9.11,60.65,1.92,,,,
23,03-17-2025 16:50:12,8.53,63.66,2.05,,,,
24,03-17-2025 17:00:12,8.44,63.14,1.84,,,,
25,03-17-2025 17:10:12,8.42,63.88,1.99,,,,
26,03-17-2025 17:20:12,8.66,61.79,1.75,,,,
27,03-17-2025 17:30:12,8.80,64.08,2.40,,,,
28,03-17-2025 17:40:12,8.31,65.21,2.17,,,,
29,03-17-2025 17:50:12,7.86,68.05,2.34,,,,
30,03-17-2025 18:00:12,7.49,70.32,2.45,,,,
31,03-17-2025 18:10:12,7.12,70.72,2.17,,,,
32,03-17-2025 18:20:12,6.76,72.11,2.10,,,,
33,03-17-2025 18:30:12,6.39,71.79,1.68,,,,
34,03-17-2025 18:40:12,6.22,73.02,1.75,,,,
35,03-17-2025 18:50:12,5.77,74.45,1.58,,,,
36,03-17-2025 19:00:12,5.50,75.13,1.45,,,,
37,03-17-2025 19:10:12,5.23,75.62,1.28,,,,
38,03-17-2025 19:20:12,4.77,76.89,1.07,,,,
39,03-17-2025 19:30:12,4.46,78.00,0.96,,,,
40,03-17-2025 19:40:12,4.21,78.97,0.89,,,,
41,03-17-2025 19:50:12,3.85,79.91,0.70,,,,
42,03-17-2025 20:00:12,3.54,81.73,0.71,,,,
43,03-17-2025 20:10:12,3.82,81.68,0.98,,,,
44,03-17-2025 20:20:12,3.71,81.22,0.79,,,,
45,03-17-2025 20:30:12,3.70,83.70,1.20,,,,
46,03-17-2025 20:40:12,3.77,83.04,1.16,,,,
47,03-17-2025 20:50:12,3.95,84.32,1.55,,,,
48,03-17-2025 21:00:12,4.03,84.57,1.67,,,,
49,03-17-2025 21:10:12,3.92,84.00,1.47,,,,
50,03-17-2025 21:20:12,4.02,84.37,1.63,,,,
51,03-17-2025 21:30:12,4.06,85.40,1.84,,,,
52,03-17-2025 21:40:12,3.89,86.82,1.90,,,,
53,03-17-2025 21:50:12,3.97,87.29,2.05,,,,
54,03-17-2025 22:00:12,3.89,87.79,2.05,,,,
55,03-17-2025 22:10:12,3.94,87.43,2.05,,,,
56,03-17-2025 22:20:12,3.98,86.96,2.01,,,,
57,03-17-2025 22:30:12,3.86,86.40,1.80,,,,
58,03-17-2025 22:40:12,3.75,87.20,1.82,,,,
59,03-17-2025 22:50:12,3.75,87.17,1.82,,,,
60,03-17-2025 23:00:12,3.61,87.94,1.80,,,,
61,03-17-2025 23:10:12,3.52,88.23,1.75,,,,
62,03-17-2025 23:20:12,3.55,89.19,1.94,,,,
63,03-17-2025 23:30:12,3.61,89.56,2.06,,,,
64,03-17-2025 23:40:12,3.47,90.48,2.06,,,,
65,03-17-2025 23:50:12,3.47,90.97,2.14,,,,
66,03-18-2025 00:00:12,3.47,91.14,2.17,,,,
67,03-18-2025 00:10:12,3.30,90.61,1.91,,,,
68,03-18-2025 00:20:12,2.90,90.22,1.46,,,,
69,03-18-2025 00:30:12,2.73,91.74,1.52,,,,
70,03-18-2025 00:40:12,2.68,92.21,1.54,,,,
71,03-18-2025 00:50:12,2.45,92.28,1.33,,,,
72,03-18-2025 01:00:12,2.45,92.49,1.36,,,,
73,03-18-2025 01:10:12,2.55,91.71,1.34,,,,
74,03-18-2025 01:20:12,2.54,91.03,1.22,,,,
75,03-18-2025 01:30:12,2.46,89.29,0.88,,,,
76,03-18-2025 01:40:12,2.16,88.74,0.50,,,,
77,03-18-2025 01:50:12,1.86,89.11,0.26,,,,
78,03-18-2025 02:00:12,1.67,90.55,0.29,,,,
79,03-18-2025 02:10:12,1.38,90.84,0.05,,,,
80,03-18-2025 02:20:12,1.18,91.90,0.01,,,,
81,03-18-2025 02:30:12,1.16,92.72,0.11,,,,
82,03-18-2025 02:40:12,1.01,92.46,-0.08,,,,
83,03-18-2025 02:50:12,0.87,92.62,-0.20,,,,
84,03-18-2025 03:00:12,0.87,91.53,-0.36,,,,
85,03-18-2025 03:10:12,0.61,91.78,-0.58,,,,
86,03-18-2025 03:20:12,0.36,91.99,-0.79,,,,
87,03-18-2025 03:30:12,0.14,92.31,-0.97,,,,
88,03-18-2025 03:40:12,-0.03,93.04,-1.03,,,,
89,03-18-2025 03:50:12,-0.17,93.43,-1.11,,,,
90,03-18-2025 04:00:12,-0.27,93.72,-1.16,,,,
91,03-18-2025 04:10:12,-0.34,93.91,-1.20,,,,
92,03-18-2025 04:20:12,-0.43,94.17,-1.26,,,,
93,03-18-2025 04:30:12,-0.44,94.35,-1.24,,,,
94,03-18-2025 04:40:12,-0.50,94.49,-1.28,,,,
95,03-18-2025 04:50:12,-0.61,94.43,-1.40,,,,
96,03-18-2025 05:00:12,-0.47,95.07,-1.17,,,,
97,03-18-2025 05:10:12,-0.01,95.62,-0.63,,,,
98,03-18-2025 05:20:12,0.34,95.72,-0.27,,,,
99,03-18-2025 05:30:12,0.65,95.63,0.03,,,,
100,03-18-2025 05:40:12,0.78,94.82,0.04,,,,
101,03-18-2025 05:50:12,0.60,93.60,-0.32,,,,
102,03-18-2025 06:00:12,0.54,93.37,-0.40,,,,
103,03-18-2025 06:10:12,0.49,93.64,-0.42,,,,
104,03-18-2025 06:20:12,0.43,93.88,-0.45,,,,
105,03-18-2025 06:30:12,0.54,93.29,-0.42,,,,
106,03-18-2025 06:40:12,0.29,92.67,-0.76,,,,
107,03-18-2025 06:50:12,0.03,92.91,-0.98,,,,
108,03-18-2025 07:00:12,0.17,94.19,-0.66,,,,
