#,Date-Time (PST/PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Button Down,Host Connected,Started Offset,End of File
1,03-06-2025 12:40:47,,,,Logged,,,
2,03-06-2025 12:41:08,,,,Logged,,,
3,03-06-2025 12:41:14,,,,Logged,,,
4,03-06-2025 12:41:20,,,,,Logged,,
5,03-06-2025 12:41:27,,,,Logged,,,
6,03-06-2025 12:41:28,,,,Logged,,,
7,03-06-2025 12:41:32,,,,Logged,,,
8,03-06-2025 12:41:46,,,,Logged,,Logged,
9,03-06-2025 12:41:50,21.67,40.91,7.83,,,,
10,03-06-2025 12:51:50,16.15,51.11,6.05,,,,
11,03-06-2025 13:01:50,13.45,57.95,5.36,,,,
12,03-06-2025 13:11:50,12.19,65.26,5.88,,,,
13,03-06-2025 13:21:50,11.88,65.38,5.61,,,,
14,03-06-2025 13:31:50,11.67,67.67,5.90,,,,
15,03-06-2025 13:41:50,11.64,66.51,5.62,,,,
16,03-06-2025 13:51:50,11.47,68.17,5.82,,,,
17,03-06-2025 14:01:50,11.50,66.40,5.47,,,,
18,03-06-2025 14:11:50,11.63,67.17,5.76,,,,
19,03-06-2025 14:21:50,11.26,66.96,5.36,,,,
20,03-06-2025 14:31:50,10.96,69.78,5.67,,,,
21,03-06-2025 14:41:50,11.22,70.14,5.99,,,,
22,03-06-2025 14:51:50,10.94,71.99,6.10,,,,
23,03-06-2025 15:01:50,10.56,70.91,5.52,,,,
24,03-06-2025 15:11:50,10.51,73.68,6.02,,,,
25,03-06-2025 15:21:50,10.41,73.13,5.81,,,,
26,03-06-2025 15:31:50,10.07,73.19,5.50,,,,
27,03-06-2025 15:41:50,9.74,73.41,5.23,,,,
28,03-06-2025 15:51:50,9.58,74.73,5.32,,,,
29,03-06-2025 16:01:50,9.69,74.27,5.35,,,,
30,03-06-2025 16:11:50,9.70,71.76,4.86,,,,
31,03-06-2025 16:21:50,9.37,72.86,4.76,,,,
32,03-06-2025 16:31:50,9.04,73.19,4.51,,,,
33,03-06-2025 16:41:50,8.81,73.75,4.39,,,,
34,03-06-2025 16:51:50,8.56,75.25,4.44,,,,
35,03-06-2025 17:01:50,8.38,76.03,4.41,,,,
36,03-06-2025 17:11:50,8.15,76.74,4.32,,,,
37,03-06-2025 17:21:50,7.90,75.84,3.91,,,,
38,03-06-2025 17:31:50,7.67,75.10,3.55,,,,
39,03-06-2025 17:41:50,7.45,77.08,3.70,,,,
40,03-06-2025 17:51:50,7.27,79.26,3.93,,,,
41,03-06-2025 18:01:50,6.98,79.17,3.63,,,,
42,03-06-2025 18:11:50,6.72,80.61,3.63,,,,
43,03-06-2025 18:21:50,6.50,80.18,3.34,,,,
44,03-06-2025 18:31:50,6.05,80.08,2.89,,,,
45,03-06-2025 18:41:50,6.05,83.98,3.56,,,,
46,03-06-2025 18:51:50,6.00,81.89,3.15,,,,
47,03-06-2025 19:01:50,5.90,85.51,3.66,,,,
48,03-06-2025 19:11:50,5.66,81.85,2.81,,,,
49,03-06-2025 19:21:50,5.51,84.08,3.04,,,,
50,03-06-2025 19:31:50,5.39,85.20,3.11,,,,
51,03-06-2025 19:41:50,5.35,84.98,3.03,,,,
52,03-06-2025 19:51:50,5.16,84.57,2.78,,,,
53,03-06-2025 20:01:50,5.12,85.84,2.94,,,,
54,03-06-2025 20:11:50,5.05,87.54,3.15,,,,
55,03-06-2025 20:21:50,4.98,87.41,3.07,,,,
56,03-06-2025 20:31:50,4.96,87.89,3.13,,,,
57,03-06-2025 20:41:50,4.94,87.88,3.10,,,,
58,03-06-2025 20:51:50,4.85,86.01,2.71,,,,
59,03-06-2025 21:01:50,4.62,86.57,2.57,,,,
60,03-06-2025 21:11:50,4.55,87.99,2.74,,,,
61,03-06-2025 21:21:50,4.50,88.19,2.72,,,,
62,03-06-2025 21:31:50,4.41,87.42,2.50,,,,
63,03-06-2025 21:41:50,4.28,87.46,2.39,,,,
64,03-06-2025 21:51:50,4.08,86.77,2.08,,,,
65,03-06-2025 22:01:50,3.99,88.20,2.22,,,,
66,03-06-2025 22:11:50,3.95,88.50,2.23,,,,
67,03-06-2025 22:21:50,4.04,90.20,2.58,,,,
68,03-06-2025 22:31:50,4.11,90.61,2.71,,,,
69,03-06-2025 22:41:50,4.11,90.63,2.72,,,,
70,03-06-2025 22:51:50,4.07,90.07,2.59,,,,
71,03-06-2025 23:01:50,4.06,89.95,2.57,,,,
72,03-06-2025 23:11:50,4.05,89.81,2.53,,,,
73,03-06-2025 23:21:50,3.98,89.85,2.47,,,,
74,03-06-2025 23:31:50,4.03,89.99,2.54,,,,
75,03-06-2025 23:41:50,4.01,89.56,2.45,,,,
76,03-06-2025 23:51:50,3.99,89.32,2.39,,,,
77,03-07-2025 00:01:50,4.02,89.51,2.46,,,,
78,03-07-2025 00:11:50,3.87,88.92,2.22,,,,
79,03-07-2025 00:21:50,3.87,89.83,2.35,,,,
80,03-07-2025 00:31:50,3.82,89.09,2.19,,,,
81,03-07-2025 00:41:50,3.85,89.54,2.29,,,,
82,03-07-2025 00:51:50,3.90,90.21,2.45,,,,
83,03-07-2025 01:01:50,3.89,89.36,2.30,,,,
84,03-07-2025 01:11:50,3.77,88.61,2.07,,,,
85,03-07-2025 01:21:50,3.76,89.67,2.23,,,,
86,03-07-2025 01:31:50,3.86,89.41,2.28,,,,
87,03-07-2025 01:41:50,3.95,89.63,2.41,,,,
88,03-07-2025 01:51:50,4.05,88.71,2.35,,,,
89,03-07-2025 02:01:50,3.92,88.31,2.17,,,,
90,03-07-2025 02:11:50,3.84,88.23,2.08,,,,
91,03-07-2025 02:21:50,3.81,88.50,2.09,,,,
92,03-07-2025 02:31:50,3.80,88.22,2.03,,,,
93,03-07-2025 02:41:50,3.89,88.50,2.17,,,,
94,03-07-2025 02:51:50,4.08,87.06,2.13,,,,
95,03-07-2025 03:01:50,4.01,86.86,2.03,,,,
96,03-07-2025 03:11:50,3.96,87.31,2.05,,,,
97,03-07-2025 03:21:50,4.00,87.25,2.07,,,,
