#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,06/24/2024 14:24:40,23.56,46.69,11.51,,
2,06/24/2024 14:34:40,22.69,47.62,11.02,,
3,06/24/2024 14:44:40,25.18,39.22,10.34,,
4,06/24/2024 14:54:40,21.98,48.09,10.52,,
5,06/24/2024 15:04:40,21.27,48.26,9.91,,
6,06/24/2024 15:14:40,19.85,53.05,10.02,,
7,06/24/2024 15:24:40,19.20,54.27,9.76,,
8,06/24/2024 15:34:40,19.25,53.25,9.52,,
9,06/24/2024 15:44:40,19.64,50.68,9.15,,
10,06/24/2024 15:54:40,18.98,51.60,8.80,,
11,06/24/2024 16:04:40,19.76,56.38,10.85,,
12,06/24/2024 16:14:40,21.29,50.31,10.56,,
13,06/24/2024 16:24:40,20.17,56.47,11.26,,
14,06/24/2024 16:34:40,19.34,55.07,10.11,,
15,06/24/2024 16:44:40,18.96,60.23,11.10,,
16,06/24/2024 16:54:40,18.68,59.18,10.57,,
17,06/24/2024 17:04:40,18.44,60.91,10.78,,
18,06/24/2024 17:14:40,18.33,60.51,10.57,,
19,06/24/2024 17:24:40,18.13,60.07,10.28,,
20,06/24/2024 17:34:40,17.98,63.74,11.03,,
21,06/24/2024 17:44:40,17.86,65.79,11.39,,
22,06/24/2024 17:54:40,17.71,57.18,9.15,,
23,06/24/2024 18:04:40,17.58,59.61,9.64,,
24,06/24/2024 18:14:40,17.54,58.88,9.42,,
25,06/24/2024 18:24:40,17.56,61.72,10.15,,
26,06/24/2024 18:34:40,17.36,65.70,10.89,,
27,06/24/2024 18:44:40,17.20,64.45,10.45,,
28,06/24/2024 18:54:40,16.98,65.38,10.45,,
29,06/24/2024 19:04:40,16.77,67.49,10.74,,
30,06/24/2024 19:14:40,16.60,67.94,10.67,,
31,06/24/2024 19:24:40,16.40,65.37,9.90,,
32,06/24/2024 19:34:40,16.24,64.39,9.53,,
33,06/24/2024 19:44:40,16.10,66.58,9.89,,
34,06/24/2024 19:54:40,15.94,69.57,10.40,,
35,06/24/2024 20:04:40,15.87,69.86,10.40,,
36,06/24/2024 20:14:40,15.75,67.51,9.77,,
37,06/24/2024 20:24:40,15.68,73.21,10.91,,
38,06/24/2024 20:34:40,15.59,74.44,11.08,,
39,06/24/2024 20:44:40,15.44,75.68,11.19,,
40,06/24/2024 20:54:40,15.35,75.30,11.02,,
41,06/24/2024 21:04:40,15.08,76.59,11.01,,
42,06/24/2024 21:14:40,14.78,77.37,10.88,,
43,06/24/2024 21:24:40,14.60,76.76,10.58,,
44,06/24/2024 21:34:40,14.38,72.58,9.53,,
45,06/24/2024 21:44:40,14.21,76.68,10.19,,
46,06/24/2024 21:54:40,14.10,79.24,10.57,,
47,06/24/2024 22:04:40,14.07,81.79,11.02,,
48,06/24/2024 22:14:40,14.10,83.14,11.30,,
49,06/24/2024 22:24:40,14.08,80.89,10.87,,
50,06/24/2024 22:34:40,13.87,81.18,10.72,,
51,06/24/2024 22:44:40,13.59,82.00,10.59,,
52,06/24/2024 22:54:40,13.42,84.15,10.81,,
53,06/24/2024 23:04:40,13.37,85.13,10.94,,
